Vorgangstyp,Zusammenfassung,Beschreibung,Status,Priorität,Stichwörter,Stichwörter,Vorgangs-ID,Übergeordnet
Aufgabe,"1.1.1 Minimal-API-Projekt anlegen","dotnet new web; Program.cs; ggf. Ordner Models Data GraphQL.",Fertig,Hoch,backend,architecture,201,200
Aufgabe,"1.1.2 DI ohne Repository-Schicht","DbContext Auth JWT Hot Chocolate in DI registrieren.",Fertig,Hoch,backend,architecture,202,200
Aufgabe,"1.1.3 Backend-Konfiguration Umgebungen","Connection Strings On-Premises PostgreSQL und AWS Aurora DSQL Token-Secret CORS (appsettings) TLS-/Zertifikatspfad für Desktop-Clients.",Fertig,Hoch,backend,config,203,200
Aufgabe,"1.1.4 Backend Abhängigkeiten und lokaler Start","NuGet-Pakete README lokaler Start (dotnet run).",Fertig,Mittel,backend,setup,204,200
Aufgabe,"1.1.5 TLS am API-Endpunkt mTLS","Server-Zertifikat; Client-Zertifikatsprüfung für Desktop-Upload (mTLS).",,Hoch,backend,security,205,200
Aufgabe,"1.2.1 Entität Mitarbeiter","Mindestens ID Benutzername Passwort-Hash; weitere Felder nach Bedarf.",Fertig,Hoch,backend,domain,206,200
Aufgabe,"1.2.2 Entität Zeiteintrag Server mit Mitarbeiter-ID","Felder wie Desktop-Zeiteintrag/ArbeitszeitBasis plus mitarbeiter_id (Pflicht FK).",Fertig,Höchste,backend,domain,207,200
Aufgabe,"1.2.3 EF-Core-DbContext Modelle und Migrationen","Einfache Tabelle(n); Index auf mitarbeiter_id ggf. (mitarbeiter_id datum).",Fertig,Hoch,backend,persistence,208,200
Aufgabe,"1.2.4 Datenzugriff über DbContext","In GraphQL-Resolvern/Services; kein separates Repository-Layer.",Fertig,Hoch,backend,persistence,209,200
Aufgabe,"1.2.5 On-Premises PostgreSQL-Anbindung","Npgsql + EF Core; Docker optional dokumentieren.",Fertig,Hoch,backend,persistence,210,200
Aufgabe,"1.2.6 AWS Aurora DSQL Anbindung","Connection/Adapter Konfigurationsprofil; Abweichungen zu klassischem PostgreSQL dokumentieren und abfangen.",In Arbeit,Hoch,backend,aws,211,200
Aufgabe,"1.3.1 Passwort-Hashing","PasswordHasher / bcrypt; kein Klartext in der DB.",Fertig,Hoch,backend,security,212,200
Aufgabe,"1.3.2 Login-Anwendungsfall","Benutzername + Passwort prüfen → JWT (o. ä.) ausstellen.",Fertig,Höchste,backend,security,213,200
Aufgabe,"1.3.3 Token-Validierung für GraphQL","Auth-Middleware / Hot-Chocolate-Authorize; bei ungültigem/fehlendem Token ablehnen.",Fertig,Höchste,backend,security,214,200
Aufgabe,"1.3.4 Seed/Admin-Weg für Testbenutzer","Nur Entwicklung.",Fertig,Niedrig,backend,setup,215,200
Aufgabe,"1.4.1 Hot Chocolate in Minimal API einbinden","AddGraphQLServer und MapGraphQL.",Fertig,Hoch,backend,graphql,216,200
Aufgabe,"1.4.2 Mutation Login","Token (+ ggf. Mitarbeiter-Infos) zurückgeben.",Fertig,Höchste,backend,graphql,217,200
Aufgabe,"1.4.3 Mutation Upload Tätigkeitsbericht","Liste von Einträgen im JSON-Format; Auth über Token im Header; mitarbeiter_id aus Token ableiten oder prüfen.",Fertig,Höchste,backend,graphql,218,200
Aufgabe,"1.4.4 Validierung der Upload-Liste","Pflichtfelder Zeitfenster/Pausen analog Desktop-Regeln wo sinnvoll.",Fertig,Hoch,backend,domain,219,200
Aufgabe,"1.4.5 Queries Übersicht geleistete Stunden","Je Zeitraum/Mitarbeiter (Aggregation oder Rohdaten für Frontend).",Fertig,Hoch,backend,graphql,220,200
Aufgabe,"1.4.6 Fehler- und Idempotenz-Strategie Upload","Duplikate erneuter Upload desselben Monats festlegen und umsetzen.",Fertig,Mittel,backend,graphql,221,200
Aufgabe,"1.5.1 Backend-Tests","Kernlogik und Integrationstests GraphQL + Test-DB (xUnit/NUnit).",Fertig,Mittel,backend,test,222,200
Aufgabe,"1.5.2 Code schlank halten","Klare Ordner; keine unnötigen Abstraktionsschichten.",Fertig,Mittel,backend,architecture,223,200
Aufgabe,"2.1 Desktop Login-UI","Benutzername/Passwort vor Upload; Token nur lokal/sessionbezogen speichern (nicht Klartext-Log).",Fertig,Höchste,desktop,auth,301,300
Aufgabe,"2.2 Desktop Backend-Client Login und Upload","Login-Aufruf danach geschützte Upload-Mutation mit Token im Header.",Fertig,Höchste,desktop,upload,302,300
Aufgabe,"2.3 Mapping Zeiteintrag zu JSON-Liste","Lokale Daten → JSON gemäß Kontrakt 0.1; Zeitraum-Auswahl (z. B. Monat).",Fertig,Hoch,desktop,upload,303,300
Aufgabe,"2.4 Desktop Konfiguration URL und Zertifikate","Backend-URL und private Zertifikatsdateien in config.toml / external_api.toml (Client-Zertifikat Schlüssel CA).",In Arbeit,Hoch,desktop,security,304,300
Aufgabe,"2.5 HTTPS-Client mit privaten Zertifikaten","TLS zum Backend nach Login mit konfigurierten privaten Zertifikatsdateien.",In Arbeit,Höchste,desktop,security,305,300
Aufgabe,"2.6 Desktop UI-Feedback Upload","Erfolg Validierungs-/Auth-/Zertifikatsfehler anzeigen.",Fertig,Mittel,desktop,ui,306,300
Aufgabe,"2.7 Desktop-Tests Mapping und Client","Fake/HTTP-Mock inkl. Zertifikatspfad-Konfiguration.",,Mittel,desktop,test,307,300
Aufgabe,"2.8 Desktop-README Upload Login Zertifikate","Dokumentation ergänzen.",Fertig,Niedrig,desktop,docs,308,300
Aufgabe,"3.1 Frontend-Projekt anlegen","Vite + React + TypeScript empfohlen; README Frontend/README.md.",Fertig,Hoch,frontend,setup,401,400
Aufgabe,"3.2 GraphQL-Client einbinden","z. B. Apollo oder urql; Basis-URL konfigurierbar.",Fertig,Hoch,frontend,graphql,402,400
Aufgabe,"3.3 Frontend Login-Seite","Benutzername/Passwort → Token speichern (Speicher + Header-Interceptor).",In Arbeit,Höchste,frontend,auth,403,400
Aufgabe,"3.4 Geschützte Routen","Ohne Token zur Login-Seite.",Fertig,Hoch,frontend,auth,404,400
Aufgabe,"3.5 Übersicht geleisteter Stunden","Tabelle/Liste Filter Zeitraum Anzeige je Tag/Eintrag Summen.",Fertig,Höchste,frontend,ui,405,400
Aufgabe,"3.6 Logout und Token-Ablauf","Behandlung abgelaufener Tokens.",In Arbeit,Mittel,frontend,auth,406,400
Aufgabe,"3.7 Basis-Styling und responsive Darstellung","An Produkt anbinden ohne überladenes Dashboard.",Fertig,Mittel,frontend,ui,407,400
Aufgabe,"3.8 Frontend Smoke-/Komponententests","Nach Bedarf.",,Niedrig,frontend,test,408,400
Aufgabe,"4.1 End-to-End On-Premises","Desktop-Login → Upload JSON-Liste → PostgreSQL → Anzeige im React-Frontend.",In Arbeit,Höchste,integration,e2e,501,500
Aufgabe,"4.2 CORS und Auth-Header abstimmen","Über Desktop Backend Frontend abstimmen.",Fertig,Hoch,integration,security,502,500
Aufgabe,"4.3 VPC anlegen/konfigurieren","Öffentliche und private Subnets; Backend und Frontend in der VPC betreiben. CloudFormation vorhanden; noch nicht in AWS deployed.",In Arbeit,Höchste,aws,vpc,503,500
Aufgabe,"4.4 Firewall Security Groups für DB","Aurora DSQL nur vom Backend (App-Subnet) erreichbar; kein öffentlicher DB-Zugriff. In Template definiert; noch nicht deployed.",In Arbeit,Höchste,aws,security,504,500
Aufgabe,"4.5 Öffentliche Freigaben Frontend und Backend-API","HTTPS Frontend und HTTPS/GraphQL Backend von außen; nur nötige Ports/Quellen. In Template/Pipeline; noch nicht deployed.",In Arbeit,Höchste,aws,networking,505,500
Aufgabe,"4.6 Desktop-Zugang Zertifikate dokumentieren","API von außen; TLS mit privaten Zertifikatsdateien + Login-Token; Ausstellung dokumentieren.",In Arbeit,Hoch,aws,desktop,506,500
Aufgabe,"4.7 Betriebskonzept Aurora DSQL","Secrets Manager Netzwerk Deployment-Skizze Infra-as-Code wo sinnvoll. IaC + Deploy-Docs + Pipeline; Live-Deploy fehlt.",In Arbeit,Hoch,aws,ops,507,500
Aufgabe,"4.8 READMEs an Ist-Stand anpassen","Root- und Komponenten-READMEs finalisieren.",Fertig,Niedrig,docs,planung,508,500
Aufgabe,"Klären: Upload-Semantik","Nur Einfügen Upsert oder Monats-Ersatz?",Fertig,Mittel,klaerung,backend,601,600
Aufgabe,"Klären: Rollen und Datensicht","Darf ein Mitarbeiter nur eigene Daten sehen oder gibt es Rollen (Admin/Auswertung)?",Fertig,Mittel,klaerung,backend,602,600
Aufgabe,"Klären: mandant_id auf dem Server","Soll mandant_id aus dem Desktop mit auf den Server?",Fertig,Mittel,klaerung,backend,603,600
Aufgabe,"Klären: GraphQL-Bibliothek und ORM","ENTSCHIEDEN: Hot Chocolate + Npgsql / EF Core; Architektur Minimal API. (Aufgabe nur noch zur Dokumentation)",Fertig,Niedrig,klaerung,backend,604,600
Aufgabe,"Klären: Aurora-DSQL EF-Core-/Npgsql-Kompatibilität","Migrationen Transaktionen prüfen.",In Arbeit,Mittel,klaerung,aws,605,600
Aufgabe,"Klären: mTLS nur Desktop oder auch Browser","Browser typisch ohne Client-Zertifikat; Desktop mit privaten Zertifikatsdateien.",In Arbeit,Mittel,klaerung,security,606,600
Aufgabe,"Klären: Zertifikatsausstellung","Interne CA ACM Private CA oder manuell?",,Mittel,klaerung,aws,607,600
Epic,"Phase 5 – Desktop PDF-Export (Abschluss)","Als letzte Phase nach Upload Frontend und AWS: Tätigkeiten aus der Desktop-App als PDF zum Ausdrucken exportieren. Siehe Desktop/README.md.",,Niedrig,desktop,pdf,700,
Aufgabe,"5.1 Anforderungen PDF-Drucklayout festlegen","Inhalt und Layout der druckbaren Übersicht (Zeitraum z. B. Monat Spalten Kopf-/Fußzeile Summen Mitarbeiter/Mandant). Abgleich mit Excel-Export und config.toml.",,Niedrig,desktop,pdf,701,700
Aufgabe,"5.2 Application-Use-Case PDF-Export","Use Case in der Application-Schicht: Zeiteinträge für Zeitraum laden und an einen PDF-Exporter übergeben (Clean Architecture Interface).",,Niedrig,desktop,pdf,702,700
Aufgabe,"5.3 PDF-Bibliothek wählen und anbinden","Geeignete Python-PDF-Bibliothek wählen (z. B. reportlab weasyprint fpdf2) Abhängigkeit in requirements.txt dokumentieren.",,Niedrig,desktop,pdf,703,700
Aufgabe,"5.4 PDF-Exporter implementieren","Infrastructure/Presentation: PDF erzeugen druckfreundlich (A4 Hochformat klare Tabelle lesbare Schrift). Spalten ggf. konfigurierbar.",,Niedrig,desktop,pdf,704,700
Aufgabe,"5.5 Desktop-UI Export nach PDF","Menü/Schaltfläche Speichern-unter Dialog Zeitraumwahl Feedback bei Erfolg/Fehler.",,Niedrig,desktop,ui,705,700
Aufgabe,"5.6 Tests und README für PDF-Export","Unit-/Smoke-Tests für Exporter; Desktop/README.md um Bedienung und Config ergänzen.",,Niedrig,desktop,test,706,700
